% 0.4	
% x / m	m / g m^-2
-0.004512131	2.38939E-08
-0.003998059	2.6737E-08
-0.003496857	3.0281E-08
-0.003021378	3.45249E-08
-0.002507455	4.36838E-08
-0.002006369	5.214E-08
-0.001505448	6.76138E-08
-0.000953229	8.80034E-08
-0.000439685	1.13303E-07
9.607E-06	1.37896E-07
0.000510297	1.63194E-07
0.001011003	1.87791E-07
0.001498839	2.13088E-07
0.002038089	2.38389E-07
0.002513221	2.5737E-07
0.003026962	2.74248E-07
0.003489373	2.87614E-07
0.004029019	2.96073E-07
0.004542993	3.03126E-07
