% 0.2	
% x / m	m / g m^-2
-0.004499376	2.81054E-08
-0.003959647	3.30555E-08
-0.003497055	3.8702E-08
-0.002995903	4.43512E-08
-0.002494866	5.49127E-08
-0.001981092	7.03874E-08
-0.001493123	9.00708E-08
-0.000992367	1.12562E-07
-0.000491694	1.38562E-07
2.1866E-05	1.6316E-07
0.000522671	1.83546E-07
0.000997885	1.99018E-07
0.002012763	2.22247E-07
0.002552393	2.31408E-07
0.003027756	2.40564E-07
0.003554582	2.47618E-07
0.00403006	2.51862E-07
0.004544083	2.56811E-07
